Data;Temp Min;Temp Max;Precipitacao;Localidade;Tipo
2017-01-01 00:00:00;21,2;31,3;2,3;1;Realizado
2017-01-02 00:00:00;20,2;30,6;7,3;1;Realizado
2017-01-03 00:00:00;20,2;31,5;13,9;1;Realizado
2017-01-04 00:00:00;19,6;29,7;4,9;1;Realizado
2017-01-05 00:00:00;21,9;30,7;0;1;Realizado
2017-01-06 00:00:00;20,6;30,2;0;1;Realizado
2017-01-07 00:00:00;20,2;30,1;5,2;1;Realizado
2017-01-08 00:00:00;20,6;31,1;26,6;1;Realizado
2017-01-09 00:00:00;21,3;31;3,7;1;Realizado
2017-01-10 00:00:00;20,3;30,1;20,8;1;Realizado
2017-01-11 00:00:00;20,7;29,2;9,2;1;Realizado
2017-01-12 00:00:00;20,5;25,7;15,8;1;Realizado
2017-01-13 00:00:00;18,7;27,6;8,2;1;Realizado
2017-01-14 00:00:00;19,8;31,3;1,2;1;Realizado
2017-01-15 00:00:00;19,9;29,7;2,2;1;Realizado
2017-01-16 00:00:00;19,8;27,9;48,4;1;Realizado
2017-01-17 00:00:00;19,4;23,6;30,6;1;Realizado
2017-01-18 00:00:00;19,8;23,3;22,9;1;Realizado
2017-01-19 00:00:00;20;24,9;20;1;Realizado
2017-01-20 00:00:00;18,4;24,2;20,4;1;Realizado
2017-01-21 00:00:00;19;22,9;13,2;1;Realizado
2017-01-22 00:00:00;17,2;22,1;42,9;1;Realizado
2017-01-23 00:00:00;18,1;26;5,7;1;Realizado
2017-01-24 00:00:00;19,4;29,2;4,6;1;Realizado
2017-01-25 00:00:00;20,4;28,6;4,7;1;Realizado
2017-01-26 00:00:00;21;25,4;2,3;1;Realizado
2017-01-27 00:00:00;19,8;25,3;13;1;Realizado
2017-01-28 00:00:00;20,1;29,9;5,4;1;Realizado
2017-01-29 00:00:00;21,2;31,6;1,2;1;Realizado
2017-01-30 00:00:00;21;29,2;0;1;Realizado
2017-01-31 00:00:00;20,2;28,7;7;1;Realizado
2017-01-01 00:00:00;23,6;33,6;0;2;Realizado
2017-01-02 00:00:00;22,7;34,9;0;2;Realizado
2017-01-03 00:00:00;24,9;34,8;0;2;Realizado
2017-01-04 00:00:00;23,6;33;0;2;Realizado
2017-01-05 00:00:00;23,1;34,4;0;2;Realizado
2017-01-06 00:00:00;23,9;34;0;2;Realizado
2017-01-07 00:00:00;23,7;34,3;0;2;Realizado
2017-01-08 00:00:00;22,6;32,6;0;2;Realizado
2017-01-09 00:00:00;24,1;34,1;0;2;Realizado
2017-01-10 00:00:00;25,2;34,4;0;2;Realizado
2017-01-11 00:00:00;25,5;32,9;0;2;Realizado
2017-01-12 00:00:00;24,3;32,7;15;2;Realizado
2017-01-13 00:00:00;23,2;31,7;5,4;2;Realizado
2017-01-14 00:00:00;25;32;0;2;Realizado
2017-01-15 00:00:00;24,8;30;0;2;Realizado
2017-01-16 00:00:00;24,8;31,7;0;2;Realizado
2017-01-17 00:00:00;22,6;31;0;2;Realizado
2017-01-18 00:00:00;22,4;32,3;0;2;Realizado
2017-01-19 00:00:00;21,9;32,6;0;2;Realizado
2017-01-20 00:00:00;21,5;31,9;0;2;Realizado
2017-01-21 00:00:00;22,7;31,6;0;2;Realizado
2017-01-22 00:00:00;21,8;31,7;0;2;Realizado
2017-01-23 00:00:00;22,2;32,3;0;2;Realizado
2017-01-24 00:00:00;23,2;33,4;0;2;Realizado
2017-01-25 00:00:00;24,6;33,3;0;2;Realizado
2017-01-26 00:00:00;24,4;35,3;0;2;Realizado
2017-01-27 00:00:00;25,4;33,4;0;2;Realizado
2017-01-28 00:00:00;22,6;32,2;0;2;Realizado
2017-01-29 00:00:00;23,7;30,3;6,8;2;Realizado
2017-01-30 00:00:00;24;30,4;5,5;2;Realizado
2017-01-31 00:00:00;23,4;33;1,2;2;Realizado
2017-02-01 00:00:00;19;26,8;3,2;1;Realizado
2017-02-02 00:00:00;18,8;26,6;19,6;1;Realizado
2017-02-03 00:00:00;19,6;25,3;6,7;1;Realizado
2017-02-04 00:00:00;19,7;25,6;4,2;1;Realizado
2017-02-05 00:00:00;19,2;31,3;5,7;1;Realizado
2017-02-06 00:00:00;19,5;30,6;5,7;1;Realizado
2017-02-07 00:00:00;18,8;29,3;17,9;1;Realizado
2017-02-08 00:00:00;20,4;28,6;0;1;Realizado
2017-02-09 00:00:00;18,5;27,9;0;1;Realizado
2017-02-10 00:00:00;19,3;29,1;0;1;Realizado
2017-02-11 00:00:00;20,4;30,8;1,2;1;Realizado
2017-02-12 00:00:00;20,4;31,4;0;1;Realizado
2017-02-13 00:00:00;21,2;31;0;1;Realizado
2017-02-14 00:00:00;19,9;32;0;1;Realizado
2017-02-15 00:00:00;20,2;32,1;0;1;Realizado
2017-02-16 00:00:00;19,7;31,6;0;1;Realizado
2017-02-17 00:00:00;19,4;33;0;1;Realizado
2017-02-18 00:00:00;19,2;33,3;0;1;Realizado
2017-02-19 00:00:00;20,2;33,4;0;1;Realizado
2017-02-20 00:00:00;20,1;33,2;0;1;Realizado
2017-02-21 00:00:00;18,6;31,5;0;1;Realizado
2017-02-22 00:00:00;19,6;31,5;0;1;Realizado
2017-02-23 00:00:00;19,5;32;3,4;1;Realizado
2017-02-24 00:00:00;19,6;29,6;0;1;Realizado
2017-02-25 00:00:00;18,1;23,8;32,1;1;Realizado
2017-02-26 00:00:00;19,7;27,4;2,9;1;Realizado
2017-02-27 00:00:00;18,8;29;13,3;1;Realizado
2017-02-28 00:00:00;18,5;29,7;0;1;Realizado
2017-02-01 00:00:00;22,6;33,3;0;2;Realizado
2017-02-02 00:00:00;25,4;33,3;0;2;Realizado
2017-02-03 00:00:00;26,4;33;0;2;Realizado
2017-02-04 00:00:00;23,2;31,7;25,3;2;Realizado
2017-02-05 00:00:00;23,6;30,9;1,1;2;Realizado
2017-02-06 00:00:00;24,6;31,1;7,4;2;Realizado
2017-02-07 00:00:00;23,6;31,9;3,8;2;Realizado
2017-02-08 00:00:00;23,2;31,7;0;2;Realizado
2017-02-09 00:00:00;22,8;29,3;2,1;2;Realizado
2017-02-10 00:00:00;22,2;31,3;0;2;Realizado
2017-02-11 00:00:00;22,9;31,3;0;2;Realizado
2017-02-12 00:00:00;22,7;31,6;1,4;2;Realizado
2017-02-13 00:00:00;23;31,7;6,8;2;Realizado
2017-02-14 00:00:00;22,8;31,7;17;2;Realizado
2017-02-15 00:00:00;23,3;31,6;0;2;Realizado
2017-02-16 00:00:00;22,2;32,3;0;2;Realizado
2017-02-17 00:00:00;22,6;32,3;7,2;2;Realizado
2017-02-18 00:00:00;21,6;34;0;2;Realizado
2017-02-19 00:00:00;22,2;32,9;0;2;Realizado
2017-02-20 00:00:00;21,9;32,5;2,2;2;Realizado
2017-02-21 00:00:00;22,3;31,9;19,8;2;Realizado
2017-02-22 00:00:00;21,7;32,2;0;2;Realizado
2017-02-23 00:00:00;22,3;31,9;0;2;Realizado
2017-02-24 00:00:00;21,8;34,2;0;2;Realizado
2017-02-25 00:00:00;23,2;34,4;0;2;Realizado
2017-02-26 00:00:00;22,2;33,7;0;2;Realizado
2017-02-27 00:00:00;22,1;34;0;2;Realizado
2017-02-28 00:00:00;24;34,9;0;2;Realizado
2017-03-01 00:00:00;20,1;30,8;1,1;1;Realizado
2017-03-02 00:00:00;21,5;28,4;0;1;Realizado
2017-03-03 00:00:00;20;27,1;12;1;Realizado
2017-03-04 00:00:00;20,4;28,5;10,4;1;Realizado
2017-03-05 00:00:00;21,1;28,4;4,4;1;Realizado
2017-03-06 00:00:00;20,6;27,3;18,8;1;Realizado
2017-03-07 00:00:00;20;28,5;29;1;Realizado
2017-03-08 00:00:00;19,7;28;29,8;1;Realizado
2017-03-09 00:00:00;20,5;30,5;4,8;1;Realizado
2017-03-10 00:00:00;20,8;30,9;0;1;Realizado
2017-03-11 00:00:00;21,1;30,1;1,9;1;Realizado
2017-03-12 00:00:00;20,6;30,9;0;1;Realizado
2017-03-13 00:00:00;20,7;25,7;0;1;Realizado
2017-03-14 00:00:00;19,6;25,2;0;1;Realizado
2017-03-15 00:00:00;19,6;28,4;4,5;1;Realizado
2017-03-16 00:00:00;19,1;29,8;2,2;1;Realizado
2017-03-17 00:00:00;20,2;28,5;0;1;Realizado
2017-03-18 00:00:00;19,3;21,6;15,7;1;Realizado
2017-03-19 00:00:00;16,9;19,5;10,9;1;Realizado
2017-03-20 00:00:00;17,4;24,5;8,6;1;Realizado
2017-03-21 00:00:00;15,4;25,6;0;1;Realizado
2017-03-22 00:00:00;16,3;25,1;0;1;Realizado
2017-03-23 00:00:00;16,7;27,3;0;1;Realizado
2017-03-24 00:00:00;17;28,5;0;1;Realizado
2017-03-25 00:00:00;18,2;27,4;1,7;1;Realizado
2017-03-26 00:00:00;16,4;26,4;0;1;Realizado
2017-03-27 00:00:00;17;24,3;0;1;Realizado
2017-03-28 00:00:00;18;26,1;0;1;Realizado
2017-03-29 00:00:00;16,6;24,7;1,3;1;Realizado
2017-03-30 00:00:00;16,2;25,1;0;1;Realizado
2017-03-31 00:00:00;15,3;23,4;0;1;Realizado
2017-03-01 00:00:00;25,4;34,3;0;2;Realizado
2017-03-02 00:00:00;24,8;34,9;0;2;Realizado
2017-03-03 00:00:00;22,5;34,4;0;2;Realizado
2017-03-04 00:00:00;25;33,2;0;2;Realizado
2017-03-05 00:00:00;22,1;36,5;0;2;Realizado
2017-03-06 00:00:00;23,9;36,1;0;2;Realizado
2017-03-07 00:00:00;22,6;34,9;0;2;Realizado
2017-03-08 00:00:00;24,4;33,3;0;2;Realizado
2017-03-09 00:00:00;23,5;32,9;7,6;2;Realizado
2017-03-10 00:00:00;22,3;34,5;0;2;Realizado
2017-03-11 00:00:00;22;33,2;0;2;Realizado
2017-03-12 00:00:00;22,1;33,5;0;2;Realizado
2017-03-13 00:00:00;21,3;35,2;0;2;Realizado
2017-03-14 00:00:00;22,6;33,4;0;2;Realizado
2017-03-15 00:00:00;22,3;32,5;1;2;Realizado
2017-03-16 00:00:00;22,8;31,7;3,8;2;Realizado
2017-03-17 00:00:00;21,7;34,9;0;2;Realizado
2017-03-18 00:00:00;22,1;32,1;0;2;Realizado
2017-03-19 00:00:00;23,4;32,3;0;2;Realizado
2017-03-20 00:00:00;22,4;28,9;13,2;2;Realizado
2017-03-21 00:00:00;18,8;31,7;0;2;Realizado
2017-03-22 00:00:00;22,5;31,4;0;2;Realizado
2017-03-23 00:00:00;20,4;30,3;0;2;Realizado
2017-03-24 00:00:00;22,7;29,2;0;2;Realizado
2017-03-25 00:00:00;22,2;32,3;0;2;Realizado
2017-03-26 00:00:00;21,9;30,9;0;2;Realizado
2017-03-27 00:00:00;21,4;30,2;0;2;Realizado
2017-03-28 00:00:00;20,4;27,1;2,8;2;Realizado
2017-03-29 00:00:00;20,4;30,5;6,9;2;Realizado
2017-03-30 00:00:00;19,2;30;0;2;Realizado
2017-03-31 00:00:00;21,7;29,6;0;2;Realizado
2017-04-01 00:00:00;15,6;23,7;0;1;Realizado
2017-04-02 00:00:00;16;25;2,7;1;Realizado
2017-04-03 00:00:00;16,2;27,6;0;1;Realizado
2017-04-04 00:00:00;17,7;29,2;0;1;Realizado
2017-04-05 00:00:00;17,2;29,9;0;1;Realizado
2017-04-06 00:00:00;19,4;25;8,4;1;Realizado
2017-04-07 00:00:00;19,6;22,7;49;1;Realizado
2017-04-08 00:00:00;20,5;26,4;12,6;1;Realizado
2017-04-09 00:00:00;19,9;27,6;0;1;Realizado
2017-04-10 00:00:00;20,2;28,9;1,8;1;Realizado
2017-04-11 00:00:00;20,6;29,4;0;1;Realizado
2017-04-12 00:00:00;20;23,3;1,9;1;Realizado
2017-04-13 00:00:00;17,2;20,5;3,7;1;Realizado
2017-04-14 00:00:00;16,9;24,2;0;1;Realizado
2017-04-15 00:00:00;17,6;27,3;0;1;Realizado
2017-04-16 00:00:00;17,3;28,5;0;1;Realizado
2017-04-17 00:00:00;18,6;23;4,4;1;Realizado
2017-04-18 00:00:00;16,4;22,5;4,8;1;Realizado
2017-04-19 00:00:00;14,7;23,3;0;1;Realizado
2017-04-20 00:00:00;15,8;27,5;0;1;Realizado
2017-04-21 00:00:00;18,3;24,3;0;1;Realizado
2017-04-22 00:00:00;16,1;21,9;17,2;1;Realizado
2017-04-23 00:00:00;16,4;20,9;3,6;1;Realizado
2017-04-24 00:00:00;14,8;24,8;0;1;Realizado
2017-04-25 00:00:00;17,4;27,9;0;1;Realizado
2017-04-26 00:00:00;19,3;24,1;0;1;Realizado
2017-04-27 00:00:00;17,6;20,2;18,1;1;Realizado
2017-04-28 00:00:00;14,1;16,9;0;1;Realizado
2017-04-29 00:00:00;14;19,6;0;1;Realizado
2017-04-30 00:00:00;15,3;22,6;0;1;Realizado
2017-04-01 00:00:00;19;28,9;13,4;2;Realizado
2017-04-02 00:00:00;19,5;29,7;0;2;Realizado
2017-04-03 00:00:00;21;29,9;0;2;Realizado
2017-04-04 00:00:00;19,6;31,3;0;2;Realizado
2017-04-05 00:00:00;20,8;32,1;0;2;Realizado
2017-04-06 00:00:00;22,8;34,5;0;2;Realizado
2017-04-07 00:00:00;22,3;34,3;0;2;Realizado
2017-04-08 00:00:00;22,3;33,9;0;2;Realizado
2017-04-09 00:00:00;21;32,6;0;2;Realizado
2017-04-10 00:00:00;23;32,3;0;2;Realizado
2017-04-11 00:00:00;23,5;31;6,6;2;Realizado
2017-04-12 00:00:00;22,1;32,9;3,8;2;Realizado
2017-04-13 00:00:00;22,1;28,9;4;2;Realizado
2017-04-14 00:00:00;22;26,4;7,6;2;Realizado
2017-04-15 00:00:00;22,1;28,9;1,3;2;Realizado
2017-04-16 00:00:00;20;30,4;0;2;Realizado
2017-04-17 00:00:00;20;32,1;0;2;Realizado
2017-04-18 00:00:00;23,2;26,8;0;2;Realizado
2017-04-19 00:00:00;19,7;26,5;2,4;2;Realizado
2017-04-20 00:00:00;19;28,3;5,7;2;Realizado
2017-04-21 00:00:00;19,1;31,5;0;2;Realizado
2017-04-22 00:00:00;19,3;35,6;0;2;Realizado
2017-04-23 00:00:00;22,4;26,4;0;2;Realizado
2017-04-24 00:00:00;21,4;26,5;1,3;2;Realizado
2017-04-25 00:00:00;20,9;28;0;2;Realizado
2017-04-26 00:00:00;20;31,9;0;2;Realizado
2017-04-27 00:00:00;21,7;34,9;0;2;Realizado
2017-04-28 00:00:00;21,2;26,3;3,4;2;Realizado
2017-04-29 00:00:00;20,4;24,3;2,6;2;Realizado
2017-04-30 00:00:00;20,1;26,9;8,6;2;Realizado
2017-05-01 00:00:00;15,3;24;0;1;Realizado
2017-05-02 00:00:00;15,8;23,4;0;1;Realizado
2017-05-03 00:00:00;14,7;25,1;0;1;Realizado
2017-05-04 00:00:00;14,6;25,7;0;1;Realizado
2017-05-05 00:00:00;17,3;21;17,9;1;Realizado
2017-05-06 00:00:00;14,4;23,3;30;1;Realizado
2017-05-07 00:00:00;16,3;22;0;1;Realizado
2017-05-08 00:00:00;14,7;24,2;0;1;Realizado
2017-05-09 00:00:00;14,8;25,2;0;1;Realizado
2017-05-10 00:00:00;15,7;23,5;0;1;Realizado
2017-05-11 00:00:00;16,1;21,8;1,9;1;Realizado
2017-05-12 00:00:00;13,6;23,9;0;1;Realizado
2017-05-13 00:00:00;13,7;26,7;0;1;Realizado
2017-05-14 00:00:00;17,9;24,2;0;1;Realizado
2017-05-15 00:00:00;14,7;23,5;1,1;1;Realizado
2017-05-16 00:00:00;14,6;22,4;0;1;Realizado
2017-05-17 00:00:00;14,7;20,9;0;1;Realizado
2017-05-18 00:00:00;16,1;19,2;0;1;Realizado
2017-05-19 00:00:00;15,7;17,5;22,1;1;Realizado
2017-05-20 00:00:00;15,9;22,2;34,9;1;Realizado
2017-05-21 00:00:00;17,2;19,5;0;1;Realizado
2017-05-22 00:00:00;17,3;19,9;40,8;1;Realizado
2017-05-23 00:00:00;14,2;20,5;3,9;1;Realizado
2017-05-24 00:00:00;14,8;21,9;0;1;Realizado
2017-05-25 00:00:00;15,4;26,5;0;1;Realizado
2017-05-26 00:00:00;16;27,9;0;1;Realizado
2017-05-27 00:00:00;17,4;24,3;0;1;Realizado
2017-05-28 00:00:00;17,6;21,3;0;1;Realizado
2017-05-29 00:00:00;14,8;25,1;0;1;Realizado
2017-05-30 00:00:00;15,7;21,3;0;1;Realizado
2017-05-31 00:00:00;16,4;24,3;0;1;Realizado
2017-05-01 00:00:00;19,7;28;3,4;2;Realizado
2017-05-02 00:00:00;21;26,4;0;2;Realizado
2017-05-03 00:00:00;18,1;28,5;0;2;Realizado
2017-05-04 00:00:00;19,1;30,3;0;2;Realizado
2017-05-05 00:00:00;20,9;30,3;0;2;Realizado
2017-05-06 00:00:00;18,9;32,7;0;2;Realizado
2017-05-07 00:00:00;20,8;27,6;1,4;2;Realizado
2017-05-08 00:00:00;19,2;29,3;0;2;Realizado
2017-05-09 00:00:00;19,3;30,9;0;2;Realizado
2017-05-10 00:00:00;19,3;29,9;0;2;Realizado
2017-05-11 00:00:00;20,1;29,3;0;2;Realizado
2017-05-12 00:00:00;19,7;24,3;0;2;Realizado
2017-05-13 00:00:00;16,2;29,2;0;2;Realizado
2017-05-14 00:00:00;16,2;33,4;0;2;Realizado
2017-05-15 00:00:00;21,4;29,2;0;2;Realizado
2017-05-16 00:00:00;21,4;26,8;0;2;Realizado
2017-05-17 00:00:00;19,2;25,4;0;2;Realizado
2017-05-18 00:00:00;18,9;24,5;1,9;2;Realizado
2017-05-19 00:00:00;18,6;23,1;0;2;Realizado
2017-05-20 00:00:00;19,1;27,4;4,8;2;Realizado
2017-05-21 00:00:00;20,9;22,5;52,6;2;Realizado
2017-05-22 00:00:00;20,9;24,3;48,8;2;Realizado
2017-05-23 00:00:00;20,3;26,5;17,6;2;Realizado
2017-05-24 00:00:00;20,1;24,3;30,2;2;Realizado
2017-05-25 00:00:00;20,5;26,1;19,1;2;Realizado
2017-05-26 00:00:00;18,5;27,6;0;2;Realizado
2017-05-27 00:00:00;18,7;27,6;0;2;Realizado
2017-05-28 00:00:00;17,5;28,9;0;2;Realizado
2017-05-29 00:00:00;17,5;27,5;0;2;Realizado
2017-05-30 00:00:00;17,6;30,3;0;2;Realizado
2017-05-31 00:00:00;18;28,9;0;2;Realizado
2017-06-01 00:00:00;15,6;20,5;0;1;Realizado
2017-06-02 00:00:00;12;21,1;1,4;1;Realizado
2017-06-03 00:00:00;12,5;23,4;0;1;Realizado
2017-06-04 00:00:00;13;27,6;0;1;Realizado
2017-06-05 00:00:00;17;21,1;0;1;Realizado
2017-06-06 00:00:00;17,6;22,8;41;1;Realizado
2017-06-07 00:00:00;17,4;26,9;17,5;1;Realizado
2017-06-08 00:00:00;17,1;27,3;1,3;1;Realizado
2017-06-09 00:00:00;17,4;22,6;0;1;Realizado
2017-06-10 00:00:00;9,7;19,2;0;1;Realizado
2017-06-11 00:00:00;7,3;21,4;0;1;Realizado
2017-06-12 00:00:00;10,3;21,4;0;1;Realizado
2017-06-13 00:00:00;12,9;17,7;5,8;1;Realizado
2017-06-14 00:00:00;13,6;20,6;10,1;1;Realizado
2017-06-15 00:00:00;14,1;21;0;1;Realizado
2017-06-16 00:00:00;13,4;22,7;0;1;Realizado
2017-06-17 00:00:00;12,1;24,7;0;1;Realizado
2017-06-18 00:00:00;12,7;24,1;0;1;Realizado
2017-06-19 00:00:00;13,7;24,9;0;1;Realizado
2017-06-20 00:00:00;15,1;17,2;4;1;Realizado
2017-06-21 00:00:00;14,2;18,1;3,2;1;Realizado
2017-06-22 00:00:00;14,6;22,2;0;1;Realizado
2017-06-23 00:00:00;13,8;23;0;1;Realizado
2017-06-24 00:00:00;14,4;22,4;0;1;Realizado
2017-06-25 00:00:00;14,2;20,1;0;1;Realizado
2017-06-26 00:00:00;12,6;22,4;0;1;Realizado
2017-06-27 00:00:00;12,2;23,1;0;1;Realizado
2017-06-28 00:00:00;11,5;24,8;0;1;Realizado
2017-06-29 00:00:00;13,1;24,6;0;1;Realizado
2017-06-30 00:00:00;12,3;24,5;0;1;Realizado
2017-06-01 00:00:00;17,4;30,5;0;2;Realizado
2017-06-02 00:00:00;20,3;31;0;2;Realizado
2017-06-03 00:00:00;21,1;26,7;0;2;Realizado
2017-06-04 00:00:00;20,5;29,8;0;2;Realizado
2017-06-05 00:00:00;22,6;31,6;0;2;Realizado
2017-06-06 00:00:00;18,2;32,1;0;2;Realizado
2017-06-07 00:00:00;18,2;31,9;0;2;Realizado
2017-06-08 00:00:00;20,4;32,2;0;2;Realizado
2017-06-09 00:00:00;21;32,6;0;2;Realizado
2017-06-10 00:00:00;20,6;25,9;0;2;Realizado
2017-06-11 00:00:00;19,4;27,3;0;2;Realizado
2017-06-12 00:00:00;18,5;29,6;0;2;Realizado
2017-06-13 00:00:00;19,4;28,7;0;2;Realizado
2017-06-14 00:00:00;19,5;30,3;0;2;Realizado
2017-06-15 00:00:00;21,2;26,9;12,6;2;Realizado
2017-06-16 00:00:00;18,3;27,3;0;2;Realizado
2017-06-17 00:00:00;17,5;28;0;2;Realizado
2017-06-18 00:00:00;17,6;29,3;0;2;Realizado
2017-06-19 00:00:00;17;30,7;0;2;Realizado
2017-06-20 00:00:00;16,2;29,5;0;2;Realizado
2017-06-21 00:00:00;17,5;26,3;0;2;Realizado
2017-06-22 00:00:00;17,8;26,3;13,3;2;Realizado
2017-06-23 00:00:00;17,8;27;8,6;2;Realizado
2017-06-24 00:00:00;18,7;27,6;9,7;2;Realizado
2017-06-25 00:00:00;18,2;26,8;30,8;2;Realizado
2017-06-26 00:00:00;19,5;26,8;8,6;2;Realizado
2017-06-27 00:00:00;19;21,8;6,1;2;Realizado
2017-06-28 00:00:00;16,4;27,5;43,3;2;Realizado
2017-06-29 00:00:00;17,8;27,7;0;2;Realizado
2017-06-30 00:00:00;17,4;28,5;0;2;Realizado
2017-07-01 00:00:00;13,2;20,1;0;1;Realizado
2017-07-02 00:00:00;11,9;16,6;0;1;Realizado
2017-07-03 00:00:00;10,9;16,2;0;1;Realizado
2017-07-04 00:00:00;9,3;17,8;0;1;Realizado
2017-07-05 00:00:00;7,7;19,5;0;1;Realizado
2017-07-06 00:00:00;9,7;20,5;0;1;Realizado
2017-07-07 00:00:00;11,4;20,9;0;1;Realizado
2017-07-08 00:00:00;12,8;21,3;0;1;Realizado
2017-07-09 00:00:00;11,7;22,5;0;1;Realizado
2017-07-10 00:00:00;11,4;23,4;0;1;Realizado
2017-07-11 00:00:00;11,5;24,6;0;1;Realizado
