Data;Localidade;Natureza;target
01/01/2017;2;2017;20843,15555
02/01/2017;2;2017;24736,25215
03/01/2017;2;2017;25551,42268
04/01/2017;2;2017;25663,77021
05/01/2017;2;2017;25807,66519
06/01/2017;2;2017;26261,22534
07/01/2017;2;2017;24148,66516
08/01/2017;2;2017;22900,61518
09/01/2017;2;2017;26192,49425
10/01/2017;2;2017;26599,08898
11/01/2017;2;2017;27321,86948
12/01/2017;2;2017;26844,03082
13/01/2017;2;2017;25407,23677
14/01/2017;2;2017;23017,35398
15/01/2017;2;2017;21449,49014
16/01/2017;2;2017;25044,51748
17/01/2017;2;2017;25596,89341
18/01/2017;2;2017;25901,17155
19/01/2017;2;2017;25957,15676
20/01/2017;2;2017;26440,5526
21/01/2017;2;2017;24733,34384
22/01/2017;2;2017;22339,99286
23/01/2017;2;2017;25347,69788
24/01/2017;2;2017;26592,2658
25/01/2017;2;2017;26409,34236
26/01/2017;2;2017;26398,77985
27/01/2017;2;2017;26151,83699
28/01/2017;2;2017;24433,72984
29/01/2017;2;2017;22752,99658
30/01/2017;2;2017;25390,45418
31/01/2017;2;2017;26005,6193
01/02/2017;2;2017;26198,59407
02/02/2017;2;2017;25937,19039
03/02/2017;2;2017;26004,00355
04/02/2017;2;2017;22942,44225
05/02/2017;2;2017;21960,74183
06/02/2017;2;2017;23255,22378
07/02/2017;2;2017;22775,23069
08/02/2017;2;2017;22620,75026
09/02/2017;2;2017;22537,43445
10/02/2017;2;2017;22823,59107
11/02/2017;2;2017;21661,82583
12/02/2017;2;2017;20980,79797
13/02/2017;2;2017;24301,79915
14/02/2017;2;2017;24174,34544
15/02/2017;2;2017;23904,61213
16/02/2017;2;2017;24699,93827
17/02/2017;2;2017;25359,54314
18/02/2017;2;2017;25663,92776
19/02/2017;2;2017;22066,93063
20/02/2017;2;2017;24523,00278
21/02/2017;2;2017;23966,35097
22/02/2017;2;2017;24488,53823
23/02/2017;2;2017;24425,60064
24/02/2017;2;2017;24590,37566
25/02/2017;2;2017;23781,34723
26/02/2017;2;2017;21863,3914
27/02/2017;2;2017;22187,86528
28/02/2017;2;2017;22292,30922
01/03/2017;2;2017;24234,34906
02/03/2017;2;2017;26072,97221
03/03/2017;2;2017;25886,0419
04/03/2017;2;2017;24349,84946
05/03/2017;2;2017;23904,54356
06/03/2017;2;2017;27817,34185
07/03/2017;2;2017;27540,45837
08/03/2017;2;2017;27206,23346
09/03/2017;2;2017;26895,60262
10/03/2017;2;2017;26834,86339
11/03/2017;2;2017;24680,28886
12/03/2017;2;2017;23398,90843
13/03/2017;2;2017;27402,73439
14/03/2017;2;2017;26256,50868
15/03/2017;2;2017;25059,11434
16/03/2017;2;2017;24875,24167
17/03/2017;2;2017;25550,7452
18/03/2017;2;2017;24495,64459
19/03/2017;2;2017;21743,41145
20/03/2017;2;2017;23055,53876
21/03/2017;2;2017;23398,05704
22/03/2017;2;2017;24517,08002
23/03/2017;2;2017;23625,42848
24/03/2017;2;2017;23971,12791
25/03/2017;2;2017;23630,05333
26/03/2017;2;2017;22363,38242
27/03/2017;2;2017;24402,698
28/03/2017;2;2017;22762,08498
29/03/2017;2;2017;22714,00962
30/03/2017;2;2017;22939,45688
31/03/2017;2;2017;22871,37344
01/04/2017;2;2017;21379,98052
02/04/2017;2;2017;19906,44652
03/04/2017;2;2017;23312,60686
04/04/2017;2;2017;24092,15375
05/04/2017;2;2017;24760,4921
06/04/2017;2;2017;26568,60541
07/04/2017;2;2017;26712,00299
08/04/2017;2;2017;24312,5672
09/04/2017;2;2017;22683,56336
10/04/2017;2;2017;25870,97208
11/04/2017;2;2017;25207,76834
12/04/2017;2;2017;25618,84007
13/04/2017;2;2017;23254,71501
14/04/2017;2;2017;19626,14026
15/04/2017;2;2017;20536,56279
16/04/2017;2;2017;20042,37465
17/04/2017;2;2017;24179,45503
18/04/2017;2;2017;23972,39191
19/04/2017;2;2017;22946,11029
20/04/2017;2;2017;22304,6927
21/04/2017;2;2017;21408,9767
22/04/2017;2;2017;22740,89477
23/04/2017;2;2017;20997,43403
24/04/2017;2;2017;21346,45049
25/04/2017;2;2017;22556,33529
26/04/2017;2;2017;25189,88933
27/04/2017;2;2017;25559,5685
28/04/2017;2;2017;23562,36698
29/04/2017;2;2017;21619,59644
30/04/2017;2;2017;19790,73124
01/05/2017;2;2017;19509,57591
02/05/2017;2;2017;22042,70219
03/05/2017;2;2017;22781,08917
04/05/2017;2;2017;23142,89398
05/05/2017;2;2017;23736,05057
06/05/2017;2;2017;22218,08916
07/05/2017;2;2017;19706,65213
08/05/2017;2;2017;22190,7147
09/05/2017;2;2017;22926,1908
10/05/2017;2;2017;22594,74857
11/05/2017;2;2017;22933,01134
12/05/2017;2;2017;22691,75984
13/05/2017;2;2017;21406,31224
14/05/2017;2;2017;19375,21561
15/05/2017;2;2017;23381,0535
16/05/2017;2;2017;23634,86597
17/05/2017;2;2017;22797,6542
18/05/2017;2;2017;21189,94511
19/05/2017;2;2017;21235,94643
20/05/2017;2;2017;20354,19727
21/05/2017;2;2017;18710,21588
22/05/2017;2;2017;20302,00678
23/05/2017;2;2017;20015,42786
24/05/2017;2;2017;20153,43047
25/05/2017;2;2017;20156,02481
26/05/2017;2;2017;20644,14344
27/05/2017;2;2017;20381,83824
28/05/2017;2;2017;19194,68186
29/05/2017;2;2017;21598,11251
30/05/2017;2;2017;21316,10555
31/05/2017;2;2017;22243,18397
01/06/2017;2;2017;22500,65424
02/06/2017;2;2017;23817,0761
03/06/2017;2;2017;20950,84163
04/06/2017;2;2017;19686,06175
05/06/2017;2;2017;22214,41565
06/06/2017;2;2017;23528,06282
07/06/2017;2;2017;22922,04299
08/06/2017;2;2017;23512,44863
09/06/2017;2;2017;24040,6954
10/06/2017;2;2017;21753,61829
11/06/2017;2;2017;19322,78222
12/06/2017;2;2017;22180,65932
13/06/2017;2;2017;23588,83454
14/06/2017;2;2017;23709,24446
15/06/2017;2;2017;20680,40264
16/06/2017;2;2017;21716,46641
17/06/2017;2;2017;21376,58714
18/06/2017;2;2017;19922,51747
19/06/2017;2;2017;22244,05445
20/06/2017;2;2017;22692,96626
21/06/2017;2;2017;22792,45957
22/06/2017;2;2017;22209,81287
23/06/2017;2;2017;21824,69729
24/06/2017;2;2017;20156,76564
25/06/2017;2;2017;18995,77269
26/06/2017;2;2017;21373,10135
27/06/2017;2;2017;20515,05665
28/06/2017;2;2017;21170,35662
29/06/2017;2;2017;20503,41452
30/06/2017;2;2017;21423,00936
01/07/2017;2;2017;19690,44635
02/07/2017;2;2017;17981,29374
03/07/2017;2;2017;21450,48374
